Student,LPIPS,SSIM
112590030.png,0.0,1.0
112590022.png,0.2805483937263489,0.6098416796425311
112590057.png,0.32853031158447266,0.5944081609443118
113378043.png,0.36036545038223267,0.6049262802954529
112590007.png,0.38123655319213867,0.6616451381490099
110590041.png,0.39106976985931396,0.6137511280877637
112590017.png,0.4027822017669678,0.6196841960146212
112590009.png,0.4061809778213501,0.5750218877307269
112590059.png,0.41505658626556396,0.6500532944496822
112590060.png,0.4153955280780792,0.6510829467849889
112590036.png,0.41774481534957886,0.6556130634869649
111332012.png,0.4239949584007263,0.6530324180711108
112590003.png,0.4347726106643677,0.6574361860602225
110590456.png,0.4371197521686554,0.6068288290070151
112590041.png,0.43806517124176025,0.6184500281578188
112590023.png,0.4462311863899231,0.6565824704330939
112590026.png,0.45015063881874084,0.6175970097497394
109810011.png,0.452103853225708,0.6096950583381345
112590038.png,0.45362329483032227,0.6121499351709616
112590035.png,0.45532020926475525,0.6299403064833125
112590012.png,0.45652681589126587,0.6357327189761789
112590021.png,0.4726630449295044,0.5744651662456672
110820009.png,0.47667935490608215,0.5894685011808091
112590031.png,0.496393084526062,0.49704526328940773
112590005.png,0.4997628331184387,0.5946672128098465
112590056.png,0.4998917281627655,0.6544896060434777
112590052.png,0.5013507604598999,0.5312298835265797
112590033.png,0.5062993168830872,0.6067435601983796
112590029.png,0.5124509930610657,0.6492531826108284
112590053.png,0.5489517450332642,0.5238327290996289
112590024.png,0.5867921113967896,0.49245609957332154
112590018.png,0.6211026906967163,0.45531145083656827
